dataset,device,rank,data,count
apple_apartment_group1_6h_2_labeled,iPad,6,1006181d7f351328,8816
apple_apartment_group1_6h_2_labeled,iPad,7,1006141dba051d28,8728
apple_apartment_group1_6h_2_labeled,iPad,8,10061a1dbf867508,8120
apple_apartment_group1_6h_2_labeled,iPad,9,1006171da3a10728,7640
apple_apartment_group1_6h_2_labeled,iPad,10,10061c1d82778d28,6892
apple_apartment_group1_6h_2_labeled,AirTag,1,12195018ddde9e4925a6f38699a934aa1c75ce995ec501be8c0120,2228
apple_apartment_group1_6h_2_labeled,AirTag,2,1219507d5eea71e5830844757890daaa125f28d647b3bca9bf031a,1507
apple_apartment_group1_6h_2_labeled,AirTag,3,1219507d5eea71e5830844757890daaa125f28d647b3bca9bf030e,1203
apple_apartment_group1_6h_2_labeled,AirTag,4,1219505913519c8f3e1ed068e3265f7b83503a6bb58251585302ce,1151
apple_apartment_group1_6h_2_labeled,AirTag,5,1219506c9e7c87c1db72e5c81ec9a1fded62ff9657d7f1c5b701bb,1116
apple_apartment_group1_6h_2_labeled,AirTag,6,12195098b84fbe9adb1266a1810cc22800d79ca042b4de00c20070,1095
apple_apartment_group1_6h_2_labeled,AirTag,7,12195018ddde9e4925a6f38699a934aa1c75ce995ec501be8c010c,1089
apple_apartment_group1_6h_2_labeled,AirTag,8,1219502742117c7c0bab8363ceca9988ab19ff54bb62806927021a,1020
apple_apartment_group1_6h_2_labeled,AirTag,9,121950a69c3726146384a947ffdabba0d90c6d87c70c7e3728013d,990
apple_apartment_group1_6h_2_labeled,AirTag,10,12195080cac202a152f07eaaa142f58855aec19bdc013e7679024c,974
apple_apartment_group1_6h_3_labeled,AirPods,1,0719010e2021888f0100042c173eb6f70744822aa630dae583783a,3670
apple_apartment_group1_6h_3_labeled,AirPods,2,0719010e2021998f010004721c38ee93031f77b746689f774236a8,3615
apple_apartment_group1_6h_3_labeled,AirPods,3,0719010e2021998f0100044f3025f58e2f984a7d4235ed49bf61df,3374
apple_apartment_group1_6h_3_labeled,AirPods,4,0719010e2021888f01000436d4834df9fd953791d6c6e52d65ee43,3181
apple_apartment_group1_6h_3_labeled,AirPods,5,0719010e2021888f010004a27f11d168844343a051f79e49851fdc,3128
apple_apartment_group1_6h_3_labeled,AirPods,6,0719010e2021888f0100046932f0156e0f21336b0d319b2e5c7216,3111
apple_apartment_group1_6h_3_labeled,AirPods,7,0719010e2021888f010004dfb8ddb73e6a7eda1cadf5763a85a96e,3111
apple_apartment_group1_6h_3_labeled,AirPods,8,0719010e2021998f0100040ffb49a7ecde1d557aac78d19c9fff5d,3106
apple_apartment_group1_6h_3_labeled,AirPods,9,0719010e2021998f0100044818ce7049910c8033e91f072f8fd851,3095
apple_apartment_group1_6h_3_labeled,AirPods,10,0719010e2021998f01000459b4335c86ef4b394418a5eed8995a73,3090
apple_apartment_group1_6h_3_labeled,iPad,1,10051118440ada,16775
apple_apartment_group1_6h_3_labeled,iPad,2,10051218aa3cf6,14295
apple_apartment_group1_6h_3_labeled,iPad,3,1005161810838a,10054
apple_apartment_group1_6h_3_labeled,iPad,4,10051918152f05,9903
apple_apartment_group1_6h_3_labeled,iPad,5,10051b189b3651,9118
apple_apartment_group1_6h_3_labeled,iPad,6,10051f18d39206,9004
apple_apartment_group1_6h_3_labeled,iPad,7,1006161d09917738,8081
apple_apartment_group1_6h_3_labeled,iPad,8,1006141d2dbc2948,8081
apple_apartment_group1_6h_3_labeled,iPad,9,10061e1d9020d218,7928
apple_apartment_group1_6h_3_labeled,iPad,10,1006181d89e3c938,7820
apple_apartment_group1_6h_3_labeled,AirTag,1,12029000,1159
apple_apartment_group1_6h_3_labeled,AirTag,2,1219907319725c301c8b9b01f6862d4300ca91d86844e1d4e603d5,1122
apple_apartment_group1_6h_3_labeled,AirTag,3,121990eebde28731335539cfc22af5c96cac8b54de1d65d1f6005c,1102
apple_apartment_group1_6h_3_labeled,AirTag,4,1219906b1c0d155491dbb48a670dc11a252dea02162917f9f7020a,1057
apple_apartment_group1_6h_3_labeled,AirTag,5,1219500aa455c5f8f8e5408fdd226dce6e0cc3f197c64e9980023e,1034
apple_apartment_group1_6h_3_labeled,AirTag,6,12199090c3cb570e0f151bca15f527f5bfc179b1649fa07c14025e,1032
apple_apartment_group1_6h_3_labeled,AirTag,7,1219906e24dd3577b8f58115b0b89f5f6e10b4d535e636b9be00f1,991
apple_apartment_group1_6h_3_labeled,AirTag,8,121950fb2783ab3d23a5e79673060ae740a9a72dd2481f2bdf03c4,968
apple_apartment_group1_6h_3_labeled,AirTag,9,12199047549de99006009ac8019fd46d57ab1723911ffdfe940394,938
apple_apartment_group1_6h_3_labeled,AirTag,10,1219506eb13f134299409dd26cf2c83bc34295324696b572a403cf,888
apple_uni_group1_2h_labeled,AirPods,1,0719010e2021998f0100053a1a70356a3a1d104aa27eeb0d59007c,2090
apple_uni_group1_2h_labeled,AirPods,2,0719010e2021668f01000527e12bac8c2fe998815c128495ed1a4d,1869
apple_uni_group1_2h_labeled,AirPods,3,0719010e2021888f01000577771a1cdf7e1ba345d7bd6fb67ad1e9,1783
apple_uni_group1_2h_labeled,AirPods,4,0719010e2021888f01000527d584f5d239dbb4fbf1d51ae0cbe113,1767
apple_uni_group1_2h_labeled,AirPods,5,0719010e2021778f010005ef19de21ed451688584589a1a827cbff,1767
apple_uni_group1_2h_labeled,AirPods,6,0719010e2021788f010005e6a14e5e78ed6e2f8fcbaa7bd79b5f78,1749
apple_uni_group1_2h_labeled,AirPods,7,0719010e2021668f010005a5481c1dc52bb10b7a81d3a37f93c34a,1727
apple_uni_group1_2h_labeled,AirPods,8,0719010e2021778f010005aeef400a8bfa0569ad33121214ca645d,1717
apple_uni_group1_2h_labeled,AirPods,9,0719010e2021998f01000532add8212fcb12cea8c2ab5ec13e9f83,1669
